timestamp,close,volume
1644463800000,8.019,1082.1
1644463860000,7.974,1360.1
1644463920000,7.994,2373.6
1644463980000,8.019,452.7
1644464040000,8.062,1407.5
1644464100000,8.037,1285.6
1644464160000,8.031,775.9
1644464220000,8.028,234.1
1644464280000,8.002,126.1
1644464340000,8.019,678.1
1644464400000,7.960,12655.4
1644464460000,7.973,6590.1
1644464520000,7.996,2201.3
1644464580000,7.987,308.5
1644464640000,8.011,1611.7
1644464700000,8.004,40.1
1644464760000,8.020,944.2
1644464820000,8.055,282.1
1644464880000,7.990,1030.2
1644464940000,8.007,145.0
1644465000000,8.021,173.5
1644465060000,8.017,938.3
1644465120000,7.989,3544.1
1644465180000,7.989,17.3
1644465240000,7.957,1301.8
1644465300000,8.044,479.8
1644465360000,8.042,214.2
1644465420000,8.034,2382.5
1644465480000,8.010,125.2
1644465540000,8.034,236.8
1644465600000,8.020,3399.5
1644465660000,8.022,1329.7
1644465720000,8.013,161.8
1644465780000,8.038,417.4
1644465840000,8.025,34.2
1644465900000,8.033,154.4
1644465960000,8.029,304.6
1644466020000,8.061,3666.9
1644466080000,8.056,729.3
1644466140000,8.094,477.4
1644466200000,8.089,221.9
1644466260000,8.075,233.9
1644466320000,8.093,488.5
1644466380000,8.100,869.3
1644466440000,8.102,2791.3
1644466500000,8.088,821.2
1644466560000,8.119,235.3
1644466620000,8.093,975.2
1644466680000,8.098,552.6
1644466740000,8.095,1938.7
1644466800000,8.080,2085.1
1644466860000,8.093,480.5
1644466920000,8.065,80.2
1644466980000,8.070,129.9
1644467040000,8.084,74.1
1644467100000,8.095,1703.6
1644467160000,8.051,346.1
1644467220000,8.098,602.2
1644467280000,8.093,587.3
1644467340000,8.093,0.0
1644467400000,8.093,0.0
1644467460000,8.098,33.7
1644467520000,8.098,2507.3
1644467580000,8.101,380.4
1644467640000,8.080,2084.1
1644467700000,8.068,11390.3
1644467760000,8.069,529.9
1644467820000,8.052,150.4
1644467880000,8.054,352.6
1644467940000,8.061,39.5
1644468000000,8.066,87.3
1644468060000,8.031,361.0
1644468120000,8.031,691.0
1644468180000,8.023,1085.8
1644468240000,8.055,264.9
1644468300000,8.024,301.1
1644468360000,8.040,59.9
1644468420000,8.027,54.3
1644468480000,7.986,3701.6
1644468540000,7.986,1166.9
1644468600000,7.957,124.0
1644468660000,7.952,100.8
1644468720000,7.960,2581.0
1644468780000,7.947,1660.2
1644468840000,7.965,529.7
1644468900000,7.997,539.3
1644468960000,7.996,1130.2
1644469020000,7.975,88.4
1644469080000,7.977,519.3
1644469140000,7.971,1889.7
1644469200000,7.966,455.0
1644469260000,7.961,556.5
1644469320000,7.988,411.6
1644469380000,8.002,493.2
1644469440000,7.992,291.7
1644469500000,7.985,1097.6
1644469560000,7.993,504.4
1644469620000,7.949,897.0
1644469680000,7.976,498.6
1644469740000,7.973,767.3
1644469800000,7.975,186.5
1644469860000,7.961,1788.0
1644469920000,7.971,1997.7
1644469980000,7.957,71.2
1644470040000,7.986,273.4
