timestamp,close,volume
1647302280000,4.712,2021.1
1647302340000,4.705,6822.8
1647302400000,4.705,10014.0
1647302460000,4.715,9158.5
1647302520000,4.720,7610.6
1647302580000,4.721,13175.5
1647302640000,4.713,7981.1
1647302700000,4.710,5943.4
1647302760000,4.715,5980.9
1647302820000,4.717,3006.1
1647302880000,4.708,8571.9
1647302940000,4.719,1761.8
1647303000000,4.707,13580.8
1647303060000,4.694,2771.0
1647303120000,4.687,16717.2
1647303180000,4.688,5414.8
1647303240000,4.666,6935.1
1647303300000,4.656,11617.4
1647303360000,4.653,4948.5
1647303420000,4.661,1812.5
1647303480000,4.659,3904.3
1647303540000,4.657,2045.9
1647303600000,4.650,2239.7
1647303660000,4.680,6763.3
1647303720000,4.676,3265.7
1647303780000,4.689,3049.1
1647303840000,4.691,2317.5
1647303900000,4.699,5330.7
1647303960000,4.709,4056.1
1647304020000,4.701,13897.7
1647304080000,4.695,2078.5
1647304140000,4.691,2149.7
1647304200000,4.701,6484.1
1647304260000,4.691,2775.5
1647304320000,4.690,4885.8
1647304380000,4.692,3895.1
1647304440000,4.701,2643.8
1647304500000,4.703,1671.4
1647304560000,4.717,5239.5
1647304620000,4.721,1721.4
1647304680000,4.714,1358.5
1647304740000,4.718,2055.3
1647304800000,4.720,4848.5
1647304860000,4.730,2686.7
1647304920000,4.733,1530.7
1647304980000,4.731,1648.6
1647305040000,4.736,1883.1
1647305100000,4.745,4424.0
1647305160000,4.746,2648.2
1647305220000,4.743,2295.1
1647305280000,4.737,1955.2
1647305340000,4.735,3565.3
1647305400000,4.735,1811.8
1647305460000,4.749,4339.6
1647305520000,4.741,2969.4
1647305580000,4.741,1450.1
1647305640000,4.736,435.3
1647305700000,4.739,1157.4
1647305760000,4.737,1736.9
1647305820000,4.740,1178.6
1647305880000,4.739,1617.1
1647305940000,4.741,325.8
1647306000000,4.742,5811.7
1647306060000,4.745,4684.3
1647306120000,4.744,1345.0
1647306180000,4.736,2113.0
1647306240000,4.708,12108.0
1647306300000,4.708,5161.5
1647306360000,4.702,5978.4
1647306420000,4.710,1990.9
1647306480000,4.712,2237.2
1647306540000,4.696,6432.5
1647306600000,4.675,4838.9
1647306660000,4.686,4817.4
1647306720000,4.691,2358.3
1647306780000,4.693,1805.2
1647306840000,4.681,2587.4
1647306900000,4.670,4428.2
1647306960000,4.669,6679.2
1647307020000,4.671,3726.4
1647307080000,4.668,2932.9
1647307140000,4.667,1521.5
1647307200000,4.665,4796.5
1647307260000,4.661,12771.5
1647307320000,4.666,5777.3
1647307380000,4.661,3438.0
1647307440000,4.662,2907.3
1647307500000,4.675,1545.9
1647307560000,4.666,2716.9
1647307620000,4.672,3185.7
1647307680000,4.672,10114.3
1647307740000,4.674,1490.0
1647307800000,4.668,1377.7
1647307860000,4.678,7774.0
1647307920000,4.668,4139.2
1647307980000,4.655,7438.1
1647308040000,4.654,1377.3
1647308100000,4.656,766.8
1647308160000,4.674,6028.5
1647308220000,4.676,1135.8
1647308280000,4.675,823.9
1647308340000,4.668,1153.8
1647308400000,4.676,1338.7
1647308460000,4.677,2995.6
1647308520000,4.690,1519.8
1647308580000,4.695,2645.5
1647308640000,4.690,2988.9
1647308700000,4.703,3919.2
1647308760000,4.691,8393.5
1647308820000,4.688,1770.0
1647308880000,4.684,1300.5
1647308940000,4.695,1192.2
1647309000000,4.694,1341.5
1647309060000,4.690,3167.4
1647309120000,4.682,2150.2
1647309180000,4.684,923.9
1647309240000,4.678,1893.5
1647309300000,4.674,4575.6
1647309360000,4.678,3061.7
1647309420000,4.674,367.7
1647309480000,4.674,527.3
1647309540000,4.665,5413.7
1647309600000,4.663,8527.8
1647309660000,4.660,3906.6
1647309720000,4.663,2883.9
1647309780000,4.666,2094.1
1647309840000,4.663,4797.7
1647309900000,4.661,1155.8
1647309960000,4.658,3482.5
1647310020000,4.659,1008.6
1647310080000,4.656,885.0
1647310140000,4.651,5930.7
1647310200000,4.647,1490.5
1647310260000,4.650,1032.7
1647310320000,4.659,1330.9
1647310380000,4.659,1578.2
1647310440000,4.655,1004.8
1647310500000,4.658,1157.6
1647310560000,4.655,2728.9
1647310620000,4.659,274.2
1647310680000,4.645,7084.0
1647310740000,4.655,2038.3
1647310800000,4.660,2492.0
1647310860000,4.653,1277.4
1647310920000,4.657,770.4
1647310980000,4.654,827.8
1647311040000,4.657,1082.7
1647311100000,4.658,2046.6
1647311160000,4.648,899.2
1647311220000,4.648,2450.3
1647311280000,4.647,1595.1
1647311340000,4.648,2064.1
1647311400000,4.646,2353.6
1647311460000,4.643,9785.0
1647311520000,4.647,2626.1
1647311580000,4.657,3189.1
1647311640000,4.660,3350.0
1647311700000,4.667,2655.9
1647311760000,4.665,2712.9
1647311820000,4.670,3956.3
1647311880000,4.668,2925.4
1647311940000,4.672,4581.8
1647312000000,4.674,1918.7
1647312060000,4.673,2675.2
1647312120000,4.672,1519.0
1647312180000,4.674,1716.0
1647312240000,4.671,3118.8
1647312300000,4.670,746.0
1647312360000,4.660,1925.0
1647312420000,4.677,3377.9
1647312480000,4.676,9572.1
1647312540000,4.668,582.4
1647312600000,4.672,1573.1
1647312660000,4.671,1158.3
1647312720000,4.670,1135.8
1647312780000,4.665,919.7
1647312840000,4.670,869.0
1647312900000,4.672,747.1
1647312960000,4.674,496.2
1647313020000,4.676,1165.4
1647313080000,4.680,461.2
1647313140000,4.681,1968.8
1647313200000,4.678,1961.7
1647313260000,4.681,3107.4
1647313320000,4.672,3761.1
1647313380000,4.674,970.0
1647313440000,4.665,1326.7
1647313500000,4.661,1734.9
1647313560000,4.667,1434.3
1647313620000,4.670,436.2
1647313680000,4.669,1119.3
1647313740000,4.664,1568.6
1647313800000,4.662,769.9
1647313860000,4.651,2695.6
1647313920000,4.651,698.7
1647313980000,4.660,2329.1
1647314040000,4.658,1437.7
1647314100000,4.651,1172.7
1647314160000,4.653,1251.8
1647314220000,4.649,435.8
1647314280000,4.656,1249.2
1647314340000,4.643,450.2
1647314400000,4.641,410.5
1647314460000,4.644,1414.9
1647314520000,4.650,691.2
1647314580000,4.644,71.3
1647314640000,4.628,3583.2
1647314700000,4.628,1213.8
1647314760000,4.631,2159.9
1647314820000,4.636,1303.2
1647314880000,4.629,528.6
1647314940000,4.627,825.7
1647315000000,4.633,372.2
1647315060000,4.634,2406.1
1647315120000,4.637,1241.3
1647315180000,4.631,488.6
1647315240000,4.629,457.9
1647315300000,4.636,328.4
1647315360000,4.634,532.9
1647315420000,4.629,881.2
1647315480000,4.627,174.1
1647315540000,4.626,1356.1
1647315600000,4.622,444.6
1647315660000,4.615,934.6
1647315720000,4.598,12360.1
1647315780000,4.592,6976.3
1647315840000,4.586,3612.3
1647315900000,4.593,1486.4
1647315960000,4.591,5042.5
1647316020000,4.584,691.6
1647316080000,4.598,2293.3
1647316140000,4.599,2451.6
1647316200000,4.598,1195.5
1647316260000,4.591,1541.7
1647316320000,4.588,959.7
1647316380000,4.590,1569.0
1647316440000,4.584,2889.7
1647316500000,4.583,930.4
1647316560000,4.589,662.2
1647316620000,4.591,819.5
1647316680000,4.592,518.1
1647316740000,4.595,5592.6
1647316800000,4.598,9182.4
1647316860000,4.600,1783.4
1647316920000,4.599,6645.6
1647316980000,4.609,16266.4
1647317040000,4.606,774.3
1647317100000,4.612,1108.4
1647317160000,4.599,1584.2
1647317220000,4.575,6921.2
1647317280000,4.582,26931.7
1647317340000,4.586,1484.3
1647317400000,4.586,1370.7
1647317460000,4.591,1166.7
1647317520000,4.590,871.9
1647317580000,4.584,456.4
1647317640000,4.589,372.7
1647317700000,4.592,725.2
1647317760000,4.593,1723.1
1647317820000,4.593,875.1
1647317880000,4.595,1246.6
1647317940000,4.591,1056.8
1647318000000,4.597,3592.9
1647318060000,4.596,1862.9
1647318120000,4.597,1820.2
1647318180000,4.596,1124.4
1647318240000,4.598,1362.2
1647318300000,4.599,1835.0
1647318360000,4.595,229.8
1647318420000,4.590,1325.7
1647318480000,4.591,3996.4
1647318540000,4.590,2766.7
1647318600000,4.586,1252.7
1647318660000,4.587,3646.8
1647318720000,4.584,1069.5
1647318780000,4.583,1251.9
1647318840000,4.586,467.1
1647318900000,4.585,206.9
1647318960000,4.581,314.7
1647319020000,4.579,1409.9
1647319080000,4.580,476.9
1647319140000,4.580,559.0
1647319200000,4.582,3834.6
1647319260000,4.583,183.1
1647319320000,4.578,1312.2
1647319380000,4.576,445.0
1647319440000,4.573,922.1
1647319500000,4.578,2064.0
1647319560000,4.579,979.8
1647319620000,4.578,753.3
1647319680000,4.574,314.3
1647319740000,4.567,570.3
1647319800000,4.574,1301.4
1647319860000,4.571,513.4
1647319920000,4.571,1398.7
1647319980000,4.574,560.0
1647320040000,4.572,450.8
1647320100000,4.572,566.3
1647320160000,4.567,463.5
1647320220000,4.575,786.4
1647320280000,4.575,543.6
1647320340000,4.575,2222.8
1647320400000,4.565,3036.2
