timestamp,close,volume
1641356340000,0.031983,358116
1641356400000,0.032088,1255791
1641356460000,0.032072,1321771
1641356520000,0.032115,1249180
1641356580000,0.032088,202320
1641356640000,0.032081,573210
1641356700000,0.032088,1704316
1641356760000,0.032005,776537
1641356820000,0.032003,496849
1641356880000,0.031998,306960
1641356940000,0.032038,558265
1641357000000,0.032036,152783
1641357060000,0.031996,985615
1641357120000,0.031997,338859
1641357180000,0.032013,392364
1641357240000,0.032023,170259
1641357300000,0.032023,635084
1641357360000,0.031941,616089
1641357420000,0.031939,121042
1641357480000,0.031958,490248
1641357540000,0.031946,132071
1641357600000,0.031945,316942
1641357660000,0.031949,467248
1641357720000,0.031942,100515
1641357780000,0.031958,354281
1641357840000,0.031960,186735
1641357900000,0.031973,136645
1641357960000,0.032001,781830
1641358020000,0.031983,67701
1641358080000,0.032007,56491
1641358140000,0.032001,44030
1641358200000,0.032134,886894
1641358260000,0.032114,554868
1641358320000,0.032080,305319
1641358380000,0.032150,337883
1641358440000,0.032130,305619
1641358500000,0.032076,851314
1641358560000,0.032060,274343
1641358620000,0.032080,201028
1641358680000,0.031996,180640
1641358740000,0.032040,1201611
1641358800000,0.032062,525355
1641358860000,0.031995,922275
1641358920000,0.032018,829377
1641358980000,0.032016,229105
1641359040000,0.032050,94353
1641359100000,0.032042,438843
1641359160000,0.032048,693003
1641359220000,0.032061,345343
1641359280000,0.032050,165808
1641359340000,0.032050,210041
1641359400000,0.032053,148796
1641359460000,0.032084,694932
1641359520000,0.032089,152765
1641359580000,0.032068,204972
1641359640000,0.032075,105875
1641359700000,0.032053,483464
1641359760000,0.032142,1277953
1641359820000,0.032140,1845281
1641359880000,0.032089,570177
1641359940000,0.032056,236447
1641360000000,0.032039,386384
1641360060000,0.032046,266171
1641360120000,0.032062,349392
1641360180000,0.032026,403582
1641360240000,0.032046,130506
1641360300000,0.032086,203520
1641360360000,0.032094,123808
1641360420000,0.032098,385608
1641360480000,0.032056,322240
1641360540000,0.032059,612578
1641360600000,0.032078,79201
1641360660000,0.032050,422187
1641360720000,0.032029,514325
1641360780000,0.032063,299217
1641360840000,0.032028,175647
1641360900000,0.032033,326976
1641360960000,0.032035,475327
1641361020000,0.032017,255597
1641361080000,0.031999,939566
1641361140000,0.032012,115061
1641361200000,0.032037,71695
1641361260000,0.032011,596493
1641361320000,0.032040,136379
1641361380000,0.032015,462406
1641361440000,0.031994,260612
1641361500000,0.031963,239501
1641361560000,0.031954,288419
1641361620000,0.031990,248519
1641361680000,0.032021,100433
1641361740000,0.032039,244209
1641361800000,0.032061,754936
1641361860000,0.032083,41057
1641361920000,0.032057,122385
1641361980000,0.032060,230201
1641362040000,0.032025,750173
1641362100000,0.032034,68404
1641362160000,0.032040,105402
1641362220000,0.031979,354941
1641362280000,0.031978,294330
1641362340000,0.031940,514892
1641362400000,0.031924,189084
1641362460000,0.031869,985495
1641362520000,0.031820,1348237
1641362580000,0.031822,701044
1641362640000,0.031850,293308
1641362700000,0.031816,202070
1641362760000,0.031860,182179
1641362820000,0.031830,201153
1641362880000,0.031908,199892
1641362940000,0.031884,95424
1641363000000,0.031942,1896559
1641363060000,0.031911,387506
1641363120000,0.031927,398326
1641363180000,0.031932,163040
1641363240000,0.031899,216396
1641363300000,0.031909,291689
1641363360000,0.031940,501886
1641363420000,0.031948,185195
1641363480000,0.031914,322526
1641363540000,0.031949,202061
1641363600000,0.031913,441320
1641363660000,0.031917,118499
1641363720000,0.031940,423746
1641363780000,0.032005,458307
1641363840000,0.032026,467411
1641363900000,0.032038,213314
1641363960000,0.032053,403197
1641364020000,0.032062,124303
1641364080000,0.032030,548191
1641364140000,0.032060,455868
1641364200000,0.032067,95479
1641364260000,0.032034,534790
1641364320000,0.032055,173495
1641364380000,0.032047,323925
1641364440000,0.032040,50068
1641364500000,0.032086,554429
1641364560000,0.032093,218008
1641364620000,0.032113,311773
1641364680000,0.032098,419101
1641364740000,0.032109,776490
1641364800000,0.032092,31806
1641364860000,0.032026,183175
1641364920000,0.032068,611612
1641364980000,0.032073,131995
1641365040000,0.032081,40080
1641365100000,0.032125,317564
1641365160000,0.032095,897049
1641365220000,0.032105,132832
1641365280000,0.032115,112894
1641365340000,0.032116,65992
1641365400000,0.032245,2674495
1641365460000,0.032437,20361699
1641365520000,0.032579,12643096
1641365580000,0.032600,8141247
1641365640000,0.032483,3767422
1641365700000,0.032377,2898466
1641365760000,0.032330,2047239
1641365820000,0.032340,1696284
1641365880000,0.032323,803078
1641365940000,0.032470,6758740
1641366000000,0.032387,2021096
1641366060000,0.032485,2954758
1641366120000,0.032550,2328203
1641366180000,0.032473,1561731
1641366240000,0.032404,864942
1641366300000,0.032493,1952118
1641366360000,0.032411,1250913
1641366420000,0.032406,382679
1641366480000,0.032407,501547
1641366540000,0.032408,887494
1641366600000,0.032417,824008
1641366660000,0.032390,517689
1641366720000,0.032357,723162
1641366780000,0.032444,883271
1641366840000,0.032464,1147706
1641366900000,0.032434,552492
1641366960000,0.032380,1062954
1641367020000,0.032344,309366
1641367080000,0.032352,439457
1641367140000,0.032349,383787
1641367200000,0.032351,587208
1641367260000,0.032337,564465
1641367320000,0.032180,2256019
1641367380000,0.032257,2518399
1641367440000,0.032290,853109
1641367500000,0.032261,1243285
