timestamp,close,volume
1647662640000,0.1002,11307
1647662700000,0.1003,9641
1647662760000,0.1002,40682
1647662820000,0.1004,32709
1647662880000,0.1003,685
1647662940000,0.1003,16991
1647663000000,0.1003,1903
1647663060000,0.1003,0
1647663120000,0.1003,42277
1647663180000,0.1004,267868
1647663240000,0.1004,1264
1647663300000,0.1003,34448
1647663360000,0.1002,14794
1647663420000,0.1002,153
1647663480000,0.1003,18349
1647663540000,0.1003,4893
1647663600000,0.1004,2354
1647663660000,0.1004,11644
1647663720000,0.1004,289
1647663780000,0.1004,60
1647663840000,0.1003,3769
1647663900000,0.1004,873
1647663960000,0.1004,69810
1647664020000,0.1005,677
1647664080000,0.1005,50936
1647664140000,0.1005,1096
1647664200000,0.1005,0
1647664260000,0.1005,73628
1647664320000,0.1005,1563
1647664380000,0.1006,3493
1647664440000,0.1006,1602
1647664500000,0.1005,1925
1647664560000,0.1006,18586
1647664620000,0.1005,231
1647664680000,0.1006,30
1647664740000,0.1005,657
1647664800000,0.1006,3596
1647664860000,0.1006,8483
1647664920000,0.1005,1292
1647664980000,0.1005,185084
1647665040000,0.1006,4804
1647665100000,0.1007,231849
1647665160000,0.1009,102141
1647665220000,0.1010,16238
1647665280000,0.1009,10324
1647665340000,0.1008,92374
1647665400000,0.1008,3318
1647665460000,0.1009,2557
1647665520000,0.1008,5057
1647665580000,0.1008,7433
1647665640000,0.1008,66489
1647665700000,0.1007,3309
1647665760000,0.1008,4226
1647665820000,0.1008,13319
1647665880000,0.1008,4544
1647665940000,0.1008,1889
1647666000000,0.1009,152083
1647666060000,0.1009,15116
1647666120000,0.1009,78003
1647666180000,0.1009,6725
1647666240000,0.1009,3526
1647666300000,0.1009,279883
1647666360000,0.1009,25011
1647666420000,0.1009,4504
1647666480000,0.1008,167879
1647666540000,0.1009,21014
1647666600000,0.1007,317355
1647666660000,0.1007,2078
1647666720000,0.1007,14899
1647666780000,0.1006,34795
1647666840000,0.1006,56144
1647666900000,0.1006,22184
